latitude,longitude,description,date_time,period
-54.853706,20.414722,Nearly plan assume fill common parent.,2020-10-28 01:34:12,Night
-12.7287515,146.825121,Arm choose throw environment improve.,2020-08-13 07:48:01,Day
-12.635024,92.434444,Financial exactly event rest career animal.,2020-01-04 10:10:10,Day
-57.2839405,-74.185247,Plan cultural night staff rock move few.,2021-07-20 22:14:25,Night
-29.649793,105.291604,Parent us effect red indeed dog.,2020-04-07 13:20:54,Day
27.978711,-42.798101,Believe someone military per.,2022-02-04 22:43:47,Night
89.994806,46.244663,Thing from rise situation employee indicate of prevent.,2022-11-01 19:08:43,Night
-30.8756305,177.329166,Yeah film task easy real on try dinner.,2022-02-13 08:26:53,Day
30.5465275,-36.177920,Very smile if.,2022-07-28 23:47:23,Night
89.061935,82.956173,Approach see think receive civil assume society.,2023-03-18 10:01:34,Day
14.3230695,-130.727643,Player natural order apply movie sport.,2023-10-06 17:44:59,Day
32.4214925,75.952351,College no seek source.,2024-03-11 08:50:24,Day
-83.0162935,-154.570553,Possible individual man worry almost.,2023-04-29 06:05:04,Day
-59.080319,-71.090371,Young these reveal if model.,2019-12-05 17:40:38,Day
-38.8555845,-122.962808,World professional choose improve perform miss evening consider.,2020-06-16 22:59:21,Night
67.694355,166.856421,All policy political network rule.,2020-04-18 08:01:52,Day
-10.6082785,172.834021,Suddenly all concern those Mr chance sister state.,2022-03-11 18:27:40,Day
-41.624341,-44.572590,Then action change great face.,2019-08-23 01:06:51,Night
49.9710405,74.670627,Hope investment fish win leg relationship similar.,2019-10-24 16:32:05,Day
-50.822832,-39.933091,Meeting free while law son discuss.,2020-01-09 07:41:08,Day
74.625672,68.381892,Day instead whole attorney.,2020-12-25 00:27:16,Night
71.756104,126.721296,Make everyone read help figure rule.,2021-11-08 09:34:51,Day
-88.442867,163.135395,Always quickly only yet western.,2020-06-02 15:59:15,Day
-69.0670095,36.954211,Bar opportunity season might home vote check.,2020-11-25 15:51:55,Day
78.5954215,-99.326325,Model scene doctor well want.,2021-05-22 03:25:43,Night
-58.7244355,74.002319,Eat value end.,2020-06-26 05:38:54,Night
0.2529925,-55.611548,Establish per threat could expect production.,2023-02-10 03:28:19,Night
-79.076858,106.476168,Radio method follow.,2022-09-20 14:18:30,Day
-46.5293655,96.561578,View know hope customer generation.,2023-04-01 01:33:59,Night
-12.788620,16.510746,Human perform represent whether PM.,2023-11-19 11:41:02,Day
26.685296,-4.584511,Professional win health information small.,2024-04-30 20:49:24,Night
-56.338882,-132.858187,Market respond card watch.,2022-11-14 23:20:01,Night
83.1236355,-95.998857,Water unit study guess go.,2023-09-15 13:32:26,Day
22.489059,-0.566284,Likely range reality through age.,2024-02-19 13:49:43,Day
-44.7711455,-45.833475,Fill technology beautiful to interview happen.,2021-09-19 05:48:46,Night
-22.234411,87.639897,Dog onto such Mr quickly south man.,2023-06-04 04:37:57,Night
83.9852085,-10.389318,Kitchen skin alone develop American war bring.,2023-09-25 14:22:43,Day
82.696392,-128.352094,Religious ok who information same record certainly.,2020-08-03 22:33:39,Night
38.7087555,166.461720,Management hand special most.,2020-04-28 12:27:18,Day
-59.2836065,-23.153520,Activity still travel arrive each yourself end.,2019-11-22 03:08:19,Night
75.253848,-61.786026,Public human trip new life drive bit.,2023-06-18 17:03:35,Day
-64.5357345,-61.706281,Series again across.,2019-10-25 10:16:46,Day
-0.413144,133.605893,Family do goal several vote moment sister both.,2022-02-15 07:37:13,Day
39.3093365,-7.457998,Happen fact any.,2023-03-09 02:02:19,Night
-68.0806095,13.405561,Social across type check sign plant successful.,2022-02-09 02:27:08,Night
-61.354274,110.585769,Degree person follow far skill bring certainly.,2020-05-27 23:38:07,Night
